camis,boro,critical_flag,cuisine_description,inspection_date,score,grade
41086368,Queens,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2017-03-07T00:00:00Z,11,A
41231342,Bronx,Not Critical,Pizza,2015-07-01T00:00:00Z,8,A
50002139,Brooklyn,Not Critical,Mexican,2015-01-29T00:00:00Z,10,A
41480756,Bronx,Critical,American,2016-05-25T00:00:00Z,13,A
50001583,Brooklyn,Not Critical,Greek,2017-01-13T00:00:00Z,13,A
40511852,Manhattan,Critical,Pizza,2016-11-09T00:00:00Z,13,A
50046158,Manhattan,Critical,Chinese,2016-07-19T00:00:00Z,31,C
40725911,Manhattan,Critical,French,2017-10-10T00:00:00Z,12,A
50015593,Queens,Critical,Japanese,2017-03-04T00:00:00Z,10,A
50016872,Bronx,Critical,American,2015-02-14T00:00:00Z,13,A
40799021,Queens,Critical,Spanish,2015-05-26T00:00:00Z,12,A
50001212,Queens,Not Critical,Spanish,2016-03-04T00:00:00Z,23,B
41614210,Manhattan,Not Critical,Italian,2017-03-29T00:00:00Z,12,A
50006981,Queens,Not Critical,Chinese,2015-09-23T00:00:00Z,12,A
41662349,Brooklyn,Not Critical,American,2016-03-23T00:00:00Z,9,A
50053514,Queens,Not Critical,Pizza/Italian,2016-11-16T00:00:00Z,13,A
41494274,Brooklyn,Not Critical,Chinese,2017-03-13T00:00:00Z,12,A
41049159,Manhattan,Not Critical,Pancakes/Waffles,2016-05-18T00:00:00Z,4,A
41710752,Brooklyn,Critical,Jewish/Kosher,2015-06-25T00:00:00Z,12,A
41494299,Queens,Critical,American,2015-11-24T00:00:00Z,5,A
50017690,Brooklyn,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-10-28T00:00:00Z,9,A
41635498,Brooklyn,Not Critical,Italian,2016-03-01T00:00:00Z,3,A
40516149,Manhattan,Not Critical,Japanese,2015-05-27T00:00:00Z,16,B
41662634,Manhattan,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",2014-06-24T00:00:00Z,8,A
50039695,Queens,Critical,Thai,2017-02-21T00:00:00Z,12,A
41698319,Manhattan,Not Critical,Pizza,2016-12-13T00:00:00Z,21,B
50002416,Brooklyn,Critical,Cafe/coffee/Tea,2016-10-24T00:00:00Z,10,A
50002512,Bronx,Not Critical,Chinese,2014-05-01T00:00:00Z,11,A
50036654,Manhattan,Critical,American,2016-01-14T00:00:00Z,9,A
40388419,Manhattan,Not Critical,Pizza,2017-08-15T00:00:00Z,8,A
41088838,Manhattan,Not Critical,Sandwiches,2015-07-28T00:00:00Z,9,A
50034500,Queens,Critical,Hamburgers,2017-02-28T00:00:00Z,7,A
50058976,Manhattan,Critical,Chinese,2017-02-22T00:00:00Z,12,A
50017934,Manhattan,Not Critical,American,2015-08-11T00:00:00Z,9,A
41438394,Queens,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-04-15T00:00:00Z,23,B
41656924,Manhattan,Not Critical,Japanese,2015-01-05T00:00:00Z,8,A
50001430,Bronx,Critical,Chinese,2014-02-19T00:00:00Z,21,B
41300864,Manhattan,Not Critical,Hamburgers,2015-07-13T00:00:00Z,12,A
41281730,Manhattan,Not Critical,Italian,2015-08-04T00:00:00Z,12,A
41092403,Manhattan,Critical,American,2017-08-02T00:00:00Z,11,A
50000762,Manhattan,Critical,French,2013-09-06T00:00:00Z,14,B
40888633,Manhattan,Not Critical,Mexican,2014-11-10T00:00:00Z,11,A
41676498,Brooklyn,Critical,Chinese,2014-12-30T00:00:00Z,11,A
50013984,Manhattan,Not Critical,Bakery,2014-12-15T00:00:00Z,3,A
40401247,Brooklyn,Critical,American,2017-06-17T00:00:00Z,10,A
41705788,Brooklyn,Critical,Caribbean,2015-02-27T00:00:00Z,14,B
41267880,Manhattan,Critical,Sandwiches,2014-07-03T00:00:00Z,7,A
50046479,Manhattan,Not Critical,Donuts,2016-04-13T00:00:00Z,3,A
50004737,Brooklyn,Critical,Cafe/coffee/Tea,2017-09-13T00:00:00Z,12,A
41721396,Brooklyn,Not Critical,American,2014-09-24T00:00:00Z,11,A
50057491,Manhattan,Critical,American,2017-07-07T00:00:00Z,30,C
41659433,Manhattan,Critical,Sandwiches,2015-01-16T00:00:00Z,13,A
41660507,Manhattan,Critical,Italian,2016-08-12T00:00:00Z,23,B
40525767,Bronx,Critical,Pizza,2015-04-04T00:00:00Z,17,B
40697681,Manhattan,Not Critical,Italian,2014-03-19T00:00:00Z,12,A
50004931,Queens,Not Critical,Japanese,2015-10-21T00:00:00Z,11,A
41222832,Manhattan,Critical,American,2016-02-26T00:00:00Z,13,A
50014266,Manhattan,Not Critical,American,2014-10-09T00:00:00Z,11,A
50008807,Manhattan,Not Critical,Bakery,2017-06-20T00:00:00Z,10,A
50037985,Manhattan,Not Critical,American,2015-11-19T00:00:00Z,7,A
50012829,Brooklyn,Critical,Cafe/coffee/Tea,2014-10-29T00:00:00Z,13,A
41583191,Brooklyn,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014-07-10T00:00:00Z,9,A
41623580,Queens,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-07-13T00:00:00Z,9,A
40376204,Queens,Not Critical,Italian,2015-03-03T00:00:00Z,8,A
50000501,Manhattan,Critical,American,2016-03-08T00:00:00Z,9,A
40730678,Queens,Critical,American,2015-12-01T00:00:00Z,9,A
41145163,Queens,Not Critical,Vietnamese/Cambodian/Malaysia,2017-02-15T00:00:00Z,13,A
41599169,Brooklyn,Critical,Pizza/Italian,2016-06-14T00:00:00Z,17,B
40398440,Queens,Critical,Pizza,2017-07-19T00:00:00Z,12,A
40674684,Queens,Not Critical,Hamburgers,2015-11-27T00:00:00Z,10,A
41419773,Manhattan,Not Critical,American,2016-09-22T00:00:00Z,13,A
41629335,Manhattan,Not Critical,Mexican,2014-10-03T00:00:00Z,11,A
40375899,Queens,Critical,Pizza,2016-01-16T00:00:00Z,12,A
40795070,Queens,Not Critical,American,2015-06-04T00:00:00Z,12,A
41409441,Manhattan,Critical,Bakery,2015-01-23T00:00:00Z,13,A
41138026,Brooklyn,Critical,Sandwiches,2016-10-07T00:00:00Z,9,A
50009442,Manhattan,Critical,Cafe/coffee/Tea,2015-05-13T00:00:00Z,13,A
50014339,Bronx,Not Critical,American,2016-10-07T00:00:00Z,10,A
50001015,Bronx,Not Critical,Italian,2016-10-26T00:00:00Z,13,A
41693226,Brooklyn,Critical,American,2017-07-05T00:00:00Z,12,A
50002424,Bronx,Not Critical,Cafe/coffee/Tea,2017-07-26T00:00:00Z,7,A
50032894,Brooklyn,Critical,American,2016-05-18T00:00:00Z,13,A
41125769,Brooklyn,Not Critical,French,2016-11-02T00:00:00Z,11,A
41351706,Queens,Critical,Italian,2015-12-30T00:00:00Z,10,A
41376760,Manhattan,Not Critical,Bakery,2017-03-24T00:00:00Z,10,A
41486500,Manhattan,Critical,Cafe/coffee/Tea,2017-03-06T00:00:00Z,12,A
41333361,Staten Island,Critical,Italian,2015-07-01T00:00:00Z,12,A
41281518,Manhattan,Critical,American,2015-03-11T00:00:00Z,10,A
50016671,Queens,Not Critical,French,2016-08-10T00:00:00Z,12,A
50050253,Manhattan,Critical,American,2017-09-28T00:00:00Z,10,A
41376958,Brooklyn,Not Critical,Chinese,2015-07-08T00:00:00Z,28,C
50055342,Queens,Critical,Spanish,2017-02-21T00:00:00Z,22,B
40661017,Queens,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-02-12T00:00:00Z,22,B
40815605,Manhattan,Critical,Salads,2017-04-12T00:00:00Z,10,A
41678996,Bronx,Not Critical,Caribbean,2016-03-29T00:00:00Z,3,A
50016843,Manhattan,Critical,Spanish,2017-04-21T00:00:00Z,46,C
41377840,Staten Island,Not Critical,American,2016-11-22T00:00:00Z,25,B
40395826,Brooklyn,Critical,Indonesian,2017-08-11T00:00:00Z,12,A
41705732,Manhattan,Critical,Japanese,2015-03-06T00:00:00Z,35,C
41538914,Bronx,Not Critical,American,2015-04-17T00:00:00Z,2,A
41316536,Brooklyn,Critical,Chinese,2015-03-18T00:00:00Z,17,B
40373912,Manhattan,Not Critical,American,2014-12-11T00:00:00Z,10,A
50004496,Brooklyn,Critical,Tex-Mex,2015-05-27T00:00:00Z,13,A
41696147,Brooklyn,Not Critical,American,2015-10-28T00:00:00Z,22,B
41385488,Manhattan,Critical,Japanese,2016-08-15T00:00:00Z,13,A
40388419,Manhattan,Critical,Pizza,2017-03-02T00:00:00Z,10,A
50050381,Manhattan,Not Critical,Chinese,2017-01-10T00:00:00Z,9,A
41653501,Queens,Not Critical,Asian,2015-12-07T00:00:00Z,13,A
50018459,Brooklyn,Not Critical,Chinese,2017-06-27T00:00:00Z,4,A
41666300,Brooklyn,Critical,Jewish/Kosher,2016-02-16T00:00:00Z,6,A
40402376,Manhattan,Not Critical,American,2014-02-03T00:00:00Z,5,A
41444651,Manhattan,Critical,Irish,2014-05-13T00:00:00Z,11,A
41536647,Bronx,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-02-13T00:00:00Z,7,A
40860020,Manhattan,Critical,Hamburgers,2015-08-24T00:00:00Z,13,A
41708279,Manhattan,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-09-16T00:00:00Z,20,B
40364220,Brooklyn,Not Critical,Jewish/Kosher,2016-10-20T00:00:00Z,9,A
41497410,Manhattan,Not Critical,Indian,2015-12-28T00:00:00Z,13,A
41366873,Manhattan,Not Critical,Scandinavian,2015-08-13T00:00:00Z,10,A
40618714,Bronx,Not Critical,American,2016-08-23T00:00:00Z,19,B
40376290,Staten Island,Not Critical,American,2016-03-17T00:00:00Z,6,A
41213441,Manhattan,Not Critical,American,2014-09-19T00:00:00Z,4,A
41278212,Manhattan,Not Critical,Russian,2017-08-28T00:00:00Z,7,A
40716625,Manhattan,Critical,American,2016-09-20T00:00:00Z,12,A
41479993,Queens,Critical,Caribbean,2017-02-11T00:00:00Z,7,A
50010143,Brooklyn,Critical,American,2017-07-20T00:00:00Z,12,A
40392766,Brooklyn,Critical,American,2014-02-19T00:00:00Z,10,A
50005665,Brooklyn,Not Critical,Chinese,2014-10-28T00:00:00Z,12,A
41303553,Brooklyn,Critical,Caribbean,2015-12-04T00:00:00Z,19,B
50011009,Bronx,Critical,Bakery,2016-06-15T00:00:00Z,19,B
41406303,Brooklyn,Not Critical,American,2014-08-15T00:00:00Z,21,B
41327743,Manhattan,Critical,Indian,2013-11-21T00:00:00Z,16,B
41227024,Queens,Critical,Eastern European,2017-03-20T00:00:00Z,22,B
41394169,Queens,Critical,Pizza,2015-10-07T00:00:00Z,13,A
40397520,Manhattan,Not Critical,Japanese,2014-05-30T00:00:00Z,25,B
40929938,Queens,Critical,American,2016-04-09T00:00:00Z,12,A
41614161,Manhattan,Not Critical,Soul Food,2015-05-26T00:00:00Z,13,A
50015019,Manhattan,Not Critical,American,2014-10-03T00:00:00Z,4,A
41644006,Brooklyn,Critical,American,2014-09-12T00:00:00Z,7,A
40560302,Manhattan,Critical,Italian,2015-05-05T00:00:00Z,17,B
41653860,Bronx,Critical,American,2016-04-20T00:00:00Z,13,A
40857526,Brooklyn,Not Critical,American,2014-11-06T00:00:00Z,12,A
40403822,Queens,Critical,American,2016-03-03T00:00:00Z,12,A
40786218,Queens,Not Critical,Hamburgers,2015-02-12T00:00:00Z,10,A
50053519,Brooklyn,Not Critical,Chinese,2016-12-01T00:00:00Z,7,A
50015805,Brooklyn,Critical,American,2015-04-03T00:00:00Z,5,A
40836801,Manhattan,Critical,Irish,2016-02-29T00:00:00Z,9,A
40993510,Brooklyn,Critical,Spanish,2015-07-29T00:00:00Z,12,A
41605298,Brooklyn,Critical,Spanish,2016-08-05T00:00:00Z,13,A
41084540,Manhattan,Critical,American,2015-05-09T00:00:00Z,18,B
41382650,Queens,Not Critical,Chinese,2014-11-12T00:00:00Z,21,B
41578284,Queens,Not Critical,Creole,2014-06-30T00:00:00Z,10,A
41656934,Manhattan,Critical,American,2016-12-07T00:00:00Z,38,C
50051294,Queens,Critical,American,2016-09-20T00:00:00Z,23,B
40951864,Bronx,Not Critical,American,2015-10-08T00:00:00Z,13,A
41706342,Queens,Critical,American,2015-02-26T00:00:00Z,31,C
50018514,Brooklyn,Critical,Indian,2015-04-21T00:00:00Z,28,C
50053905,Brooklyn,Not Critical,Japanese,2016-12-07T00:00:00Z,7,A
50038633,Manhattan,Critical,Japanese,2015-10-13T00:00:00Z,12,A
41703753,Manhattan,Not Critical,Chicken,2016-08-02T00:00:00Z,13,A
41071980,Manhattan,Not Critical,Italian,2014-01-09T00:00:00Z,13,A
41299050,Queens,Not Critical,Delicatessen,2016-06-06T00:00:00Z,9,A
40743368,Queens,Not Critical,Pizza,2014-01-24T00:00:00Z,30,C
50003253,Manhattan,Not Critical,Bakery,2014-10-08T00:00:00Z,11,A
50006972,Queens,Not Critical,Spanish,2015-07-15T00:00:00Z,11,A
50007306,Brooklyn,Critical,American,2017-05-18T00:00:00Z,5,A
50010777,Brooklyn,Not Critical,Chinese,2017-07-26T00:00:00Z,13,A
50008548,Manhattan,Not Critical,Cafe/coffee/Tea,2014-06-24T00:00:00Z,7,A
41565686,Brooklyn,Not Critical,Delicatessen,2017-08-25T00:00:00Z,13,A
41236382,Brooklyn,Critical,Donuts,2017-04-26T00:00:00Z,10,A
50007670,Brooklyn,Critical,American,2015-01-03T00:00:00Z,13,A
41619055,Manhattan,Critical,American,2016-09-27T00:00:00Z,12,A
41591834,Manhattan,Not Critical,Thai,2015-01-26T00:00:00Z,9,A
41462894,Queens,Not Critical,Pizza,2016-08-02T00:00:00Z,9,A
50051903,Queens,Critical,Caribbean,2016-09-19T00:00:00Z,10,A
40563526,Manhattan,Critical,Thai,2015-06-02T00:00:00Z,12,A
41641590,Manhattan,Not Critical,American,2017-03-16T00:00:00Z,9,A
41024174,Manhattan,Not Critical,Polynesian,2015-05-27T00:00:00Z,11,A
50001070,Manhattan,Critical,French,2015-05-28T00:00:00Z,29,C
50049047,Queens,Critical,Cafe/coffee/Tea,2017-05-23T00:00:00Z,10,A
50002024,Brooklyn,Not Critical,Middle Eastern,2017-07-19T00:00:00Z,12,A
41067699,Queens,Critical,Asian,2016-10-05T00:00:00Z,10,A
40567158,Manhattan,Not Critical,Italian,2016-07-21T00:00:00Z,10,A
40731196,Brooklyn,Critical,Jewish/Kosher,2016-06-29T00:00:00Z,17,B
40401155,Queens,Not Critical,Bakery,2016-11-25T00:00:00Z,12,A
40369299,Bronx,Critical,Seafood,2014-06-07T00:00:00Z,12,A
40996465,Queens,Not Critical,Bakery,2015-03-12T00:00:00Z,11,A
50002364,Manhattan,Not Critical,Italian,2017-08-28T00:00:00Z,7,A
50041097,Manhattan,Not Critical,Indian,2017-07-05T00:00:00Z,7,A
40921141,Queens,Critical,Italian,2015-12-02T00:00:00Z,13,A
41276823,Manhattan,Critical,Chinese,2015-04-02T00:00:00Z,10,A
50052511,Bronx,Not Critical,Chinese,2017-04-20T00:00:00Z,9,A
41498521,Manhattan,Not Critical,American,2017-01-25T00:00:00Z,9,A
40425131,Queens,Not Critical,Bagels/Pretzels,2016-04-17T00:00:00Z,25,B
50016249,Brooklyn,Not Critical,Italian,2015-01-08T00:00:00Z,13,A
41591211,Manhattan,Critical,French,2017-02-02T00:00:00Z,12,A
40390850,Staten Island,Critical,Italian,2016-03-30T00:00:00Z,10,A
41113037,Manhattan,Critical,Mediterranean,2016-02-10T00:00:00Z,17,B
50036272,Brooklyn,Critical,Chinese,2015-09-02T00:00:00Z,29,C
50034380,Queens,Not Critical,Pizza,2016-11-16T00:00:00Z,11,A
50058439,Manhattan,Critical,Italian,2017-01-19T00:00:00Z,7,A
50038811,Brooklyn,Critical,Bakery,2016-06-08T00:00:00Z,8,A
41683490,Brooklyn,Critical,American,2016-03-02T00:00:00Z,12,A
41632738,Manhattan,Not Critical,American,2015-04-02T00:00:00Z,19,B
50034203,Brooklyn,Not Critical,Sandwiches,2017-05-30T00:00:00Z,2,A
41533270,Manhattan,Critical,Italian,2016-07-21T00:00:00Z,7,A
40866029,Manhattan,Critical,Chicken,2016-09-29T00:00:00Z,7,A
41403336,Brooklyn,Critical,Pizza,2016-08-16T00:00:00Z,11,A
41676577,Manhattan,Not Critical,American,2017-01-20T00:00:00Z,12,A
41598963,Bronx,Not Critical,American,2017-05-09T00:00:00Z,7,A
41664038,Manhattan,Critical,Bakery,2017-09-15T00:00:00Z,24,B
50011610,Brooklyn,Not Critical,Pizza,2015-02-09T00:00:00Z,9,A
41643104,Queens,Critical,Other,2014-03-06T00:00:00Z,7,A
50002350,Manhattan,Not Critical,Japanese,2013-11-13T00:00:00Z,13,A
41590649,Manhattan,Critical,Thai,2016-02-17T00:00:00Z,19,B
41706342,Queens,Critical,American,2015-07-01T00:00:00Z,13,A
40370342,Brooklyn,Critical,American,2017-10-02T00:00:00Z,11,A
41416092,Manhattan,Not Critical,Mexican,2017-10-05T00:00:00Z,13,A
50046164,Brooklyn,Critical,Cafe/coffee/Tea,2016-12-13T00:00:00Z,10,A
41642324,Brooklyn,Not Critical,American,2015-01-10T00:00:00Z,9,A
41542713,Manhattan,Critical,American,2014-05-22T00:00:00Z,8,A
41656254,Queens,Not Critical,Mexican,2016-03-20T00:00:00Z,11,A
50016824,Manhattan,Not Critical,Cafe/coffee/Tea,2017-10-13T00:00:00Z,12,A
41706329,Manhattan,Critical,Indian,2016-08-25T00:00:00Z,13,A
41166868,Queens,Not Critical,Spanish,2014-11-17T00:00:00Z,13,A
50044949,Manhattan,Not Critical,American,2016-02-10T00:00:00Z,11,A
50056283,Brooklyn,Not Critical,Cafe/coffee/Tea,2016-11-02T00:00:00Z,8,A
50003326,Brooklyn,Not Critical,"Bottled beverages, including water, sodas, juices, etc.",2017-08-09T00:00:00Z,10,A
40647953,Queens,Not Critical,Indian,2016-08-17T00:00:00Z,10,A
41357172,Bronx,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-02-23T00:00:00Z,31,C
50018919,Manhattan,Not Critical,Chinese,2015-10-29T00:00:00Z,12,A
41714810,Manhattan,Critical,Mexican,2014-10-02T00:00:00Z,43,C
50046009,Bronx,Critical,Chinese,2016-08-30T00:00:00Z,6,A
50000306,Brooklyn,Critical,Chinese,2016-03-21T00:00:00Z,11,A
41108068,Queens,Critical,Mexican,2017-02-23T00:00:00Z,10,A
50036750,Manhattan,Critical,American,2017-02-08T00:00:00Z,12,A
40364389,Manhattan,Critical,American,2016-10-11T00:00:00Z,10,A
50042521,Queens,Not Critical,Indian,2017-02-14T00:00:00Z,11,A
50010010,Brooklyn,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-06-17T00:00:00Z,30,C
41694170,Brooklyn,Not Critical,Italian,2015-07-24T00:00:00Z,7,A
41175260,Queens,Not Critical,Donuts,2016-02-02T00:00:00Z,5,A
40885315,Manhattan,Critical,Italian,2015-10-29T00:00:00Z,10,A
41288664,Brooklyn,Critical,Bakery,2015-09-02T00:00:00Z,7,A
41591687,Manhattan,Critical,Italian,2015-09-23T00:00:00Z,12,A
50000990,Bronx,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-05-11T00:00:00Z,9,A
50017778,Bronx,Critical,"Juice, Smoothies, Fruit Salads",2016-03-15T00:00:00Z,9,A
41653101,Brooklyn,Critical,Mexican,2016-03-03T00:00:00Z,13,A
41210181,Queens,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-12-22T00:00:00Z,12,A
41460700,Manhattan,Critical,American,2017-04-25T00:00:00Z,12,A
41289273,Manhattan,Critical,American,2014-10-16T00:00:00Z,19,B
41696929,Manhattan,Critical,Irish,2017-04-03T00:00:00Z,12,A
50044956,Manhattan,Critical,"Juice, Smoothies, Fruit Salads",2016-05-09T00:00:00Z,7,A
41689833,Queens,Critical,Mexican,2015-11-10T00:00:00Z,11,A
40732501,Brooklyn,Not Critical,Mexican,2015-06-23T00:00:00Z,9,A
50006577,Manhattan,Not Critical,Cafe/coffee/Tea,2016-12-20T00:00:00Z,13,A
50034022,Manhattan,Critical,Cafe/coffee/Tea,2015-05-15T00:00:00Z,12,A
41714688,Queens,Not Critical,American,2014-03-13T00:00:00Z,9,A
40656594,Bronx,Critical,Steak,2015-05-05T00:00:00Z,13,A
41712067,Brooklyn,Critical,Chinese,2015-11-25T00:00:00Z,12,A
41123001,Brooklyn,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-03-17T00:00:00Z,9,A
50009752,Queens,Not Critical,Sandwiches,2015-05-28T00:00:00Z,2,A
41657755,Brooklyn,Critical,American,2015-07-01T00:00:00Z,9,A
41624219,Queens,Not Critical,Mexican,2014-11-21T00:00:00Z,12,A
41610229,Bronx,Critical,African,2016-03-08T00:00:00Z,52,C
41614707,Manhattan,Critical,American,2016-10-25T00:00:00Z,13,A
50035042,Manhattan,Not Critical,Tex-Mex,2015-05-12T00:00:00Z,10,A
50015040,Brooklyn,Critical,American,2014-10-28T00:00:00Z,7,A
41630686,Brooklyn,Critical,Chinese,2017-03-13T00:00:00Z,9,A
50044597,Bronx,Not Critical,Pizza/Italian,2017-02-07T00:00:00Z,22,B
50035745,Bronx,Critical,Chinese,2015-08-24T00:00:00Z,18,B
40919024,Manhattan,Not Critical,Cafe/coffee/Tea,2014-04-29T00:00:00Z,8,A
40515675,Bronx,Not Critical,American,2014-06-23T00:00:00Z,9,A
50000102,Bronx,Not Critical,African,2014-10-23T00:00:00Z,30,C
50039082,Manhattan,Critical,Spanish,2015-10-16T00:00:00Z,9,A
41300940,Staten Island,Critical,American,2014-12-23T00:00:00Z,13,A
41463046,Bronx,Not Critical,Donuts,2017-06-20T00:00:00Z,4,A
41529391,Brooklyn,Critical,Chinese,2015-03-19T00:00:00Z,11,A
41436121,Bronx,Not Critical,Caribbean,2014-09-23T00:00:00Z,12,A
41644000,Manhattan,Critical,American,2015-04-20T00:00:00Z,18,B
41386642,Manhattan,Not Critical,American,2015-08-31T00:00:00Z,13,A
50038473,Manhattan,Critical,Asian,2016-06-02T00:00:00Z,10,A
50046846,Bronx,Not Critical,Seafood,2016-08-08T00:00:00Z,13,A
40526147,Queens,Critical,Mexican,2014-12-23T00:00:00Z,5,A
40929097,Manhattan,Not Critical,American,2017-01-26T00:00:00Z,12,A
41403890,Brooklyn,Critical,American,2015-07-22T00:00:00Z,10,A
41223165,Brooklyn,Not Critical,Hamburgers,2015-06-05T00:00:00Z,8,A
41602657,Manhattan,Critical,Caribbean,2015-05-16T00:00:00Z,24,B
41098956,Manhattan,Critical,Tex-Mex,2015-01-14T00:00:00Z,12,A
50060116,Queens,Not Critical,Chicken,2017-03-13T00:00:00Z,10,A
50002345,Brooklyn,Not Critical,American,2014-07-02T00:00:00Z,11,A
50049330,Queens,Not Critical,American,2016-08-22T00:00:00Z,7,A
50009467,Bronx,Critical,Sandwiches/Salads/Mixed Buffet,2014-05-21T00:00:00Z,8,A
41252528,Queens,Not Critical,Seafood,2016-09-26T00:00:00Z,12,A
40719325,Staten Island,Not Critical,Bakery,2016-05-03T00:00:00Z,9,A
41347936,Staten Island,Critical,"Ice Cream, Gelato, Yogurt, Ices",2015-05-26T00:00:00Z,5,A
50033848,Manhattan,Not Critical,Pizza,2016-10-04T00:00:00Z,10,A
41435352,Queens,Not Critical,Peruvian,2016-04-13T00:00:00Z,11,A
41158071,Brooklyn,Not Critical,American,2014-12-23T00:00:00Z,12,A
41684638,Manhattan,Not Critical,Chicken,2014-10-31T00:00:00Z,12,A
40730140,Brooklyn,Critical,American,2017-02-23T00:00:00Z,10,A
41334829,Bronx,Critical,Irish,2016-05-05T00:00:00Z,19,B
41514447,Bronx,Critical,Pizza,2015-07-24T00:00:00Z,12,A
41147901,Bronx,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-06-20T00:00:00Z,12,A
40390655,Staten Island,Critical,American,2016-06-30T00:00:00Z,11,A
41454213,Queens,Not Critical,Chinese,2017-05-24T00:00:00Z,13,A
41407189,Manhattan,Critical,American,2014-12-15T00:00:00Z,10,A
40397775,Queens,Not Critical,Caribbean,2015-07-01T00:00:00Z,10,A
50015846,Queens,Not Critical,Spanish,2014-11-17T00:00:00Z,25,B
50001322,Queens,Not Critical,German,2014-07-31T00:00:00Z,12,A
41086217,Staten Island,Not Critical,American,2017-09-01T00:00:00Z,11,A
41377220,Manhattan,Not Applicable,Bakery,2016-04-19T00:00:00Z,7,A
41271730,Manhattan,Critical,American,2016-06-14T00:00:00Z,13,A
50000710,Brooklyn,Critical,American,2016-04-04T00:00:00Z,12,A
41165623,Manhattan,Critical,Pizza,2015-05-29T00:00:00Z,12,A
41436344,Staten Island,Not Critical,Chinese,2015-02-25T00:00:00Z,12,A
41568894,Brooklyn,Critical,Cafe/coffee/Tea,2015-05-04T00:00:00Z,5,A
41292582,Bronx,Critical,Mexican,2017-08-28T00:00:00Z,13,A
50010479,Manhattan,Not Critical,American,2015-07-28T00:00:00Z,13,A
40394650,Brooklyn,Not Critical,Pizza,2014-09-08T00:00:00Z,13,A
50058069,Brooklyn,Critical,American,2017-06-22T00:00:00Z,39,C
50042038,Manhattan,Critical,Bakery,2017-02-10T00:00:00Z,9,A
41642333,Manhattan,Critical,Chinese,2017-06-23T00:00:00Z,18,B
41491272,Bronx,Not Critical,Mexican,2017-03-23T00:00:00Z,8,A
50002367,Manhattan,Critical,American,2015-12-24T00:00:00Z,7,A
41299050,Queens,Not Critical,Delicatessen,2014-07-25T00:00:00Z,7,C
40367339,Manhattan,Not Critical,American,2015-12-04T00:00:00Z,9,A
40980062,Staten Island,Critical,Japanese,2016-06-28T00:00:00Z,26,B
40528180,Manhattan,Critical,Steak,2017-06-06T00:00:00Z,12,A
50034670,Brooklyn,Not Critical,American,2015-04-27T00:00:00Z,8,A
50000944,Brooklyn,Critical,Chinese,2014-12-29T00:00:00Z,8,A
40927908,Bronx,Not Critical,American,2014-12-24T00:00:00Z,11,A
50065815,Manhattan,Not Critical,Sandwiches,2017-09-06T00:00:00Z,10,A
50034762,Queens,Critical,Cafe/coffee/Tea,2017-04-06T00:00:00Z,13,A
41111393,Manhattan,Not Critical,Moroccan,2016-08-03T00:00:00Z,27,B
50012606,Brooklyn,Not Critical,Chinese,2014-11-17T00:00:00Z,9,A
50056821,Manhattan,Critical,American,2017-04-12T00:00:00Z,8,A
41576543,Manhattan,Not Critical,Mexican,2016-12-13T00:00:00Z,13,A
41621317,Queens,Not Critical,Chinese,2015-09-18T00:00:00Z,12,A
41405526,Brooklyn,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2017-04-19T00:00:00Z,8,A
41541114,Staten Island,Not Critical,Pizza,2017-01-12T00:00:00Z,11,A
40544576,Manhattan,Not Critical,Eastern European,2015-10-30T00:00:00Z,9,A
40402337,Queens,Critical,Bakery,2016-07-20T00:00:00Z,10,A
50011097,Manhattan,Critical,English,2015-09-28T00:00:00Z,9,A
41560746,Brooklyn,Not Critical,Caribbean,2015-03-12T00:00:00Z,10,A
41388576,Manhattan,Critical,Pizza,2014-11-21T00:00:00Z,10,A
41479962,Manhattan,Critical,American,2014-12-05T00:00:00Z,13,A
41685305,Queens,Not Critical,Spanish,2015-02-11T00:00:00Z,13,A
50006488,Manhattan,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-12-02T00:00:00Z,24,B
40821227,Manhattan,Critical,Mexican,2014-03-06T00:00:00Z,8,A
40516511,Staten Island,Critical,Cafe/coffee/Tea,2017-04-20T00:00:00Z,10,A
41574209,Manhattan,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",2015-05-13T00:00:00Z,2,A
