camis,boro,critical_flag,cuisine_description,inspection_date,score,grade
41622588,Manhattan,Not Critical,Bakery,2014-05-08T00:00:00Z,6,A
41626109,Brooklyn,Not Critical,American,2015-07-09T00:00:00Z,7,A
50042876,Queens,Not Critical,Pizza,2016-02-22T00:00:00Z,11,A
41704908,Brooklyn,Not Critical,Chinese,2017-03-07T00:00:00Z,3,A
50044840,Brooklyn,Critical,Asian,2016-09-27T00:00:00Z,14,B
41630104,Queens,Critical,Chinese,2015-04-03T00:00:00Z,26,B
40389881,Queens,Critical,American,2015-05-18T00:00:00Z,11,A
41092640,Brooklyn,Critical,Russian,2016-08-24T00:00:00Z,15,B
41503082,Manhattan,Not Critical,American,2015-07-22T00:00:00Z,10,A
41688632,Bronx,Critical,"Bottled beverages, including water, sodas, juices, etc.",2014-02-20T00:00:00Z,12,A
41582081,Manhattan,Not Critical,Italian,2017-04-03T00:00:00Z,4,A
50001069,Queens,Not Critical,Russian,2017-06-14T00:00:00Z,4,A
50039094,Manhattan,Not Critical,French,2016-11-22T00:00:00Z,7,A
41504651,Brooklyn,Not Critical,Chinese,2016-12-05T00:00:00Z,13,A
41536979,Queens,Critical,American,2014-04-12T00:00:00Z,10,A
41711191,Brooklyn,Critical,Chinese,2015-06-29T00:00:00Z,-1,B
50012545,Manhattan,Not Critical,Hamburgers,2015-05-12T00:00:00Z,12,A
41596557,Bronx,Critical,Pizza,2016-01-19T00:00:00Z,6,A
41523554,Queens,Critical,Chicken,2015-07-20T00:00:00Z,11,A
41217779,Manhattan,Critical,Cafe/coffee/Tea,2016-06-17T00:00:00Z,22,B
41445748,Manhattan,Critical,American,2016-09-01T00:00:00Z,11,A
50032652,Queens,Not Critical,Spanish,2015-08-11T00:00:00Z,27,B
50011968,Brooklyn,Critical,Pizza,2014-10-15T00:00:00Z,11,A
50002593,Manhattan,Not Critical,Cafe/coffee/Tea,2016-02-17T00:00:00Z,11,A
41222434,Manhattan,Critical,Chinese,2016-08-25T00:00:00Z,24,B
41703808,Brooklyn,Not Critical,Italian,2015-07-08T00:00:00Z,10,A
41548763,Queens,Not Critical,Mexican,2014-09-11T00:00:00Z,9,A
41534162,Manhattan,Critical,Irish,2014-06-23T00:00:00Z,11,A
50041686,Brooklyn,Not Critical,Italian,2016-12-03T00:00:00Z,5,A
50046158,Manhattan,Critical,Chinese,2016-07-19T00:00:00Z,31,C
41583046,Brooklyn,Not Critical,Italian,2016-05-17T00:00:00Z,13,A
41167453,Bronx,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-02-27T00:00:00Z,29,C
40370781,Queens,Not Critical,Hamburgers,2014-10-30T00:00:00Z,37,C
40931239,Manhattan,Not Critical,Peruvian,2015-07-09T00:00:00Z,13,A
50036613,Queens,Not Critical,American,2016-03-02T00:00:00Z,13,A
40576044,Manhattan,Critical,Italian,2014-09-13T00:00:00Z,12,A
40957025,Manhattan,Not Critical,Asian,2016-06-28T00:00:00Z,36,C
41436074,Bronx,Critical,Pizza/Italian,2014-10-15T00:00:00Z,7,A
40383003,Queens,Critical,American,2015-02-23T00:00:00Z,11,A
50006552,Manhattan,Critical,Indian,2016-12-15T00:00:00Z,11,A
41320401,Manhattan,Not Critical,Bakery,2017-03-10T00:00:00Z,13,A
40746893,Brooklyn,Not Critical,Pizza,2015-02-21T00:00:00Z,4,A
41495778,Queens,Critical,Spanish,2014-05-01T00:00:00Z,15,B
41552183,Manhattan,Not Critical,Bakery,2014-06-18T00:00:00Z,12,A
50041252,Queens,Critical,Mexican,2017-10-17T00:00:00Z,12,A
41492592,Brooklyn,Critical,American,2016-11-16T00:00:00Z,12,A
50038565,Brooklyn,Critical,Delicatessen,2016-10-25T00:00:00Z,13,A
